deviceTime_utc,deviceTime_local,deviceTime_unix,co2_ppm,noise
2019-06-16 20:51:18+00:00,2019-06-17 05:51:18+09:00,1560718278,479.660625,2.2306250000000003
2019-06-16 16:51:18+00:00,2019-06-17 01:51:18+09:00,1560703878,480.945,2.2554166666666666
2019-06-16 12:51:18+00:00,2019-06-16 21:51:18+09:00,1560689478,499.84375,2.28125
2019-06-16 08:51:18+00:00,2019-06-16 17:51:18+09:00,1560675078,638.6522916666667,2.2864583333333335
2019-06-16 04:51:18+00:00,2019-06-16 13:51:18+09:00,1560660678,691.2202083333333,2.294583333333333
2019-06-16 00:51:18+00:00,2019-06-16 09:51:18+09:00,1560646278,559.1495833333333,2.2710416666666666
2019-06-15 20:51:18+00:00,2019-06-16 05:51:18+09:00,1560631878,493.97895833333337,2.2541666666666664
2019-06-15 16:51:18+00:00,2019-06-16 01:51:18+09:00,1560617478,490.443125,2.265833333333333
2019-06-15 12:51:18+00:00,2019-06-15 21:51:18+09:00,1560603078,495.87041666666664,2.28125
2019-06-15 08:51:18+00:00,2019-06-15 17:51:18+09:00,1560588678,522.9708333333333,2.290833333333333
2019-06-15 04:51:18+00:00,2019-06-15 13:51:18+09:00,1560574278,566.6616666666666,2.2795833333333335
2019-06-15 00:51:18+00:00,2019-06-15 09:51:18+09:00,1560559878,564.6220833333333,2.2718749999999996
2019-06-14 20:51:18+00:00,2019-06-15 05:51:18+09:00,1560545478,523.2497916666666,2.297083333333333
2019-06-14 16:51:18+00:00,2019-06-15 01:51:18+09:00,1560531078,527.52,2.313125
2019-06-14 12:51:18+00:00,2019-06-14 21:51:18+09:00,1560516678,533.1852083333333,2.3591666666666664
2019-06-14 08:51:18+00:00,2019-06-14 17:51:18+09:00,1560502278,612.50625,2.3597916666666667
2019-06-14 04:51:18+00:00,2019-06-14 13:51:18+09:00,1560487878,611.1877083333334,2.3318749999999997
2019-06-14 00:51:18+00:00,2019-06-14 09:51:18+09:00,1560473478,594.66,2.2870833333333334
2019-06-13 20:51:18+00:00,2019-06-14 05:51:18+09:00,1560459078,545.0541666666667,2.2581249999999997
2019-06-13 16:51:18+00:00,2019-06-14 01:51:18+09:00,1560444678,534.8891666666667,2.2716666666666665
2019-06-13 12:51:18+00:00,2019-06-13 21:51:18+09:00,1560430278,541.196875,2.263125
2019-06-13 08:51:18+00:00,2019-06-13 17:51:18+09:00,1560415878,593.8577083333333,2.2710416666666666
2019-06-13 04:51:18+00:00,2019-06-13 13:51:18+09:00,1560401478,594.8202083333333,2.2443750000000002
2019-06-13 00:51:18+00:00,2019-06-13 09:51:18+09:00,1560387078,541.2010416666667,2.2320833333333336
2019-06-12 20:51:18+00:00,2019-06-13 05:51:18+09:00,1560372678,518.7410416666667,2.2152083333333334
2019-06-12 16:51:18+00:00,2019-06-13 01:51:18+09:00,1560358278,533.5114583333333,2.22125
2019-06-12 12:51:18+00:00,2019-06-12 21:51:18+09:00,1560343878,564.1633333333333,2.2256250000000004
2019-06-12 08:51:18+00:00,2019-06-12 17:51:18+09:00,1560329478,698.506875,2.2347916666666667
2019-06-12 04:51:18+00:00,2019-06-12 13:51:18+09:00,1560315078,645.5564583333334,2.218125
2019-06-12 00:51:18+00:00,2019-06-12 09:51:18+09:00,1560300678,507.5410416666667,2.198541666666667
2019-06-11 20:51:18+00:00,2019-06-12 05:51:18+09:00,1560286278,480.6441666666667,2.191875
2019-06-11 16:51:18+00:00,2019-06-12 01:51:18+09:00,1560271878,481.4864583333333,2.1910416666666666
2019-06-11 12:51:18+00:00,2019-06-11 21:51:18+09:00,1560257478,483.829375,2.189583333333333
2019-06-11 08:51:18+00:00,2019-06-11 17:51:18+09:00,1560243078,513.3689583333334,2.2064583333333334
2019-06-11 04:51:18+00:00,2019-06-11 13:51:18+09:00,1560228678,572.5579166666666,2.21375
2019-06-11 00:51:18+00:00,2019-06-11 09:51:18+09:00,1560214278,511.34833333333336,2.1972916666666666
2019-06-10 20:51:18+00:00,2019-06-11 05:51:18+09:00,1560199878,483.09875000000005,2.190208333333333
2019-06-10 16:51:18+00:00,2019-06-11 01:51:18+09:00,1560185478,481.71395833333327,2.1975000000000002
2019-06-10 12:51:18+00:00,2019-06-10 21:51:18+09:00,1560171078,481.619375,2.204791666666667
2019-06-10 08:51:18+00:00,2019-06-10 17:51:18+09:00,1560156678,521.2147916666667,2.2208333333333337
2019-06-10 04:51:18+00:00,2019-06-10 13:51:18+09:00,1560142278,808.6687499999999,2.2331250000000002
2019-06-10 00:56:18+00:00,2019-06-10 09:56:18+09:00,1560128178,476.15489361702123,2.2029787234042555
2019-06-09 20:51:31+00:00,2019-06-10 05:51:31+09:00,1560113491,491.409375,2.272708333333333
2019-06-09 16:51:31+00:00,2019-06-10 01:51:31+09:00,1560099091,486.0039583333334,2.277708333333333
2019-06-09 12:51:31+00:00,2019-06-09 21:51:31+09:00,1560084691,496.8377083333334,2.297916666666667
2019-06-09 08:51:31+00:00,2019-06-09 17:51:31+09:00,1560070291,766.9010416666666,2.3220833333333335
2019-06-09 04:51:31+00:00,2019-06-09 13:51:31+09:00,1560055891,1180.5652083333332,2.3264583333333335
2019-06-09 00:51:31+00:00,2019-06-09 09:51:31+09:00,1560041491,494.29749999999996,2.313125
2019-06-08 20:51:31+00:00,2019-06-09 05:51:31+09:00,1560027091,483.6514583333333,2.298125
2019-06-08 16:51:31+00:00,2019-06-09 01:51:31+09:00,1560012691,488.48333333333335,2.299375
2019-06-08 12:51:31+00:00,2019-06-08 21:51:31+09:00,1559998291,525.0433333333334,2.309375
2019-06-08 08:51:31+00:00,2019-06-08 17:51:31+09:00,1559983891,579.2227083333333,2.31625
2019-06-08 04:51:31+00:00,2019-06-08 13:51:31+09:00,1559969491,613.83125,2.3070833333333334
2019-06-08 00:51:31+00:00,2019-06-08 09:51:31+09:00,1559955091,552.5835416666667,2.3110416666666667
2019-06-07 20:51:31+00:00,2019-06-08 05:51:31+09:00,1559940691,534.785,2.308333333333333
2019-06-07 16:51:31+00:00,2019-06-08 01:51:31+09:00,1559926291,548.3133333333334,2.3183333333333334
2019-06-07 12:51:31+00:00,2019-06-07 21:51:31+09:00,1559911891,584.4683333333334,2.3379166666666666
2019-06-07 08:51:31+00:00,2019-06-07 17:51:31+09:00,1559897491,644.5954166666667,2.3520833333333333
2019-06-07 04:51:31+00:00,2019-06-07 13:51:31+09:00,1559883091,651.5643749999999,2.3477083333333333
2019-06-07 00:51:31+00:00,2019-06-07 09:51:31+09:00,1559868691,561.0404166666666,2.3441666666666667
2019-06-06 20:51:31+00:00,2019-06-07 05:51:31+09:00,1559854291,513.2195833333334,2.344375
2019-06-06 16:51:31+00:00,2019-06-07 01:51:31+09:00,1559839891,516.1372916666668,2.3516666666666666
2019-06-06 12:51:31+00:00,2019-06-06 21:51:31+09:00,1559825491,509.2495833333333,2.358333333333333
2019-06-06 08:51:31+00:00,2019-06-06 17:51:31+09:00,1559811091,552.673125,2.356458333333333
2019-06-06 04:51:31+00:00,2019-06-06 13:51:31+09:00,1559796691,650.0272916666667,2.3520833333333333
2019-06-06 00:51:31+00:00,2019-06-06 09:51:31+09:00,1559782291,544.2620833333334,2.3541666666666665
2019-06-05 21:21:31+00:00,2019-06-06 06:21:31+09:00,1559769691,529.7055555555556,2.350833333333332
2019-06-04 19:56:31+00:00,2019-06-05 04:56:31+09:00,1559678191,520.0282142857143,2.374642857142857
2019-06-04 16:46:31+00:00,2019-06-05 01:46:31+09:00,1559666791,520.7377419354838,2.374838709677419
2019-06-04 12:56:31+00:00,2019-06-04 21:56:31+09:00,1559652991,522.2704,2.3604
2019-06-04 08:51:31+00:00,2019-06-04 17:51:31+09:00,1559638291,550.9541666666667,2.362083333333333
2019-06-04 04:51:31+00:00,2019-06-04 13:51:31+09:00,1559623891,580.4610416666667,2.355833333333333
2019-06-04 00:51:31+00:00,2019-06-04 09:51:31+09:00,1559609491,530.4491666666667,2.344375
2019-06-03 20:51:31+00:00,2019-06-04 05:51:31+09:00,1559595091,517.4983333333333,2.322291666666667
2019-06-03 16:51:31+00:00,2019-06-04 01:51:31+09:00,1559580691,513.6427083333333,2.330416666666667
2019-06-03 12:51:31+00:00,2019-06-03 21:51:31+09:00,1559566291,508.7729166666666,2.349583333333333
2019-06-03 08:51:31+00:00,2019-06-03 17:51:31+09:00,1559551891,521.896875,2.3547916666666664
2019-06-03 04:51:31+00:00,2019-06-03 13:51:31+09:00,1559537491,554.4514583333333,2.346458333333333
2019-06-03 00:56:31+00:00,2019-06-03 09:56:31+09:00,1559523391,545.8719565217391,2.335
