deviceTime_utc,deviceTime_local,deviceTime_unix,co2_ppm,noise
2019-04-15 04:50:41+00:00,2019-04-14 21:50:41-07:00,1555303841,558.808125,3.1437500000000003
2019-04-15 00:55:41+00:00,2019-04-14 17:55:41-07:00,1555289741,563.8506382978721,3.2023404255319154
2019-04-14 20:50:55+00:00,2019-04-14 13:50:55-07:00,1555275055,570.850625,3.1662500000000002
2019-04-14 16:50:55+00:00,2019-04-14 09:50:55-07:00,1555260655,572.553125,3.1035416666666666
2019-04-14 12:50:55+00:00,2019-04-14 05:50:55-07:00,1555246255,566.3904166666667,3.109583333333333
2019-04-14 08:50:55+00:00,2019-04-14 01:50:55-07:00,1555231855,564.4939583333334,3.1422916666666665
2019-04-14 04:50:55+00:00,2019-04-13 21:50:55-07:00,1555217455,553.895,3.2243749999999998
2019-04-14 00:50:55+00:00,2019-04-13 17:50:55-07:00,1555203055,537.5108333333334,3.3622916666666662
2019-04-13 20:50:55+00:00,2019-04-13 13:50:55-07:00,1555188655,571.9729166666667,3.2883333333333336
2019-04-13 16:50:55+00:00,2019-04-13 09:50:55-07:00,1555174255,583.8220833333334,3.1972916666666666
2019-04-13 12:50:55+00:00,2019-04-13 05:50:55-07:00,1555159855,573.4079166666667,3.1577083333333333
2019-04-13 08:50:55+00:00,2019-04-13 01:50:55-07:00,1555145455,582.308125,3.2083333333333335
2019-04-13 04:50:55+00:00,2019-04-12 21:50:55-07:00,1555131055,562.61,3.309791666666667
2019-04-13 00:50:55+00:00,2019-04-12 17:50:55-07:00,1555116655,535.8031249999999,3.359166666666667
2019-04-12 20:50:55+00:00,2019-04-12 13:50:55-07:00,1555102255,538.0241666666667,3.240625
2019-04-12 16:50:55+00:00,2019-04-12 09:50:55-07:00,1555087855,547.9883333333333,3.1041666666666665
2019-04-12 12:50:55+00:00,2019-04-12 05:50:55-07:00,1555073455,546.58875,3.077083333333334
2019-04-12 08:50:55+00:00,2019-04-12 01:50:55-07:00,1555059055,528.68125,3.1022916666666664
2019-04-12 04:50:55+00:00,2019-04-11 21:50:55-07:00,1555044655,529.2302083333333,3.1700000000000004
2019-04-12 00:50:55+00:00,2019-04-11 17:50:55-07:00,1555030255,517.8639583333334,3.2314583333333338
2019-04-11 20:50:55+00:00,2019-04-11 13:50:55-07:00,1555015855,409.3145833333333,3.1983333333333337
2019-04-11 16:50:55+00:00,2019-04-11 09:50:55-07:00,1555001455,419.5572916666667,3.185208333333333
2019-04-11 12:50:55+00:00,2019-04-11 05:50:55-07:00,1554987055,425.1745833333334,3.173541666666667
2019-04-11 08:50:55+00:00,2019-04-11 01:50:55-07:00,1554972655,422.5754166666666,3.2016666666666667
2019-04-11 04:50:55+00:00,2019-04-10 21:50:55-07:00,1554958255,417.29770833333333,3.2689583333333334
2019-04-11 00:50:55+00:00,2019-04-10 17:50:55-07:00,1554943855,408.3341666666667,3.3422916666666667
2019-04-10 20:50:55+00:00,2019-04-10 13:50:55-07:00,1554929455,410.15375,3.2091666666666665
2019-04-10 16:50:55+00:00,2019-04-10 09:50:55-07:00,1554915055,424.89729166666666,3.0818749999999997
2019-04-10 12:50:55+00:00,2019-04-10 05:50:55-07:00,1554900655,433.3227083333333,3.0552083333333333
2019-04-10 08:50:55+00:00,2019-04-10 01:50:55-07:00,1554886255,418.7402083333333,3.129375
2019-04-10 04:50:55+00:00,2019-04-09 21:50:55-07:00,1554871855,420.9916666666666,3.1783333333333332
2019-04-10 00:50:55+00:00,2019-04-09 17:50:55-07:00,1554857455,408.3689583333333,3.263333333333333
2019-04-09 20:50:55+00:00,2019-04-09 13:50:55-07:00,1554843055,404.6620833333333,3.193333333333333
2019-04-09 16:50:55+00:00,2019-04-09 09:50:55-07:00,1554828655,408.43083333333334,3.0774999999999992
2019-04-09 12:50:55+00:00,2019-04-09 05:50:55-07:00,1554814255,411.15687499999996,3.0870833333333336
2019-04-09 08:50:55+00:00,2019-04-09 01:50:55-07:00,1554799855,425.00562499999995,3.1266666666666665
2019-04-09 04:50:55+00:00,2019-04-08 21:50:55-07:00,1554785455,443.23,3.1827083333333337
2019-04-09 00:50:55+00:00,2019-04-08 17:50:55-07:00,1554771055,472.845,3.236875
2019-04-08 20:50:55+00:00,2019-04-08 13:50:55-07:00,1554756655,469.4902083333333,3.3066666666666666
2019-04-08 16:50:55+00:00,2019-04-08 09:50:55-07:00,1554742255,484.45458333333335,3.1925000000000003
2019-04-08 12:50:55+00:00,2019-04-08 05:50:55-07:00,1554727855,486.4845833333334,3.153541666666667
2019-04-08 08:50:55+00:00,2019-04-08 01:50:55-07:00,1554713455,470.7204166666667,3.207708333333333
2019-04-08 04:51:00+00:00,2019-04-07 21:51:00-07:00,1554699060,470.6272916666667,3.216458333333333
2019-04-08 00:56:00+00:00,2019-04-07 17:56:00-07:00,1554684960,480.49695652173915,3.313478260869565
2019-04-02 15:05:53+00:00,2019-04-02 08:05:53-07:00,1554217553,485.28666666666663,3.09
2019-04-02 12:50:53+00:00,2019-04-02 05:50:53-07:00,1554209453,469.21458333333334,3.1183333333333336
2019-04-02 08:50:53+00:00,2019-04-02 01:50:53-07:00,1554195053,475.33125,3.146875
2019-04-02 04:50:53+00:00,2019-04-01 21:50:53-07:00,1554180653,476.2239583333333,3.1677083333333336
2019-04-02 00:50:53+00:00,2019-04-01 17:50:53-07:00,1554166253,473.5883333333333,3.2120833333333336
2019-04-01 20:50:53+00:00,2019-04-01 13:50:53-07:00,1554151853,479.15270833333335,3.230833333333333
2019-04-01 16:50:53+00:00,2019-04-01 09:50:53-07:00,1554137453,486.88999999999993,3.169583333333333
2019-04-01 12:50:53+00:00,2019-04-01 05:50:53-07:00,1554123053,463.27979166666665,3.1054166666666667
2019-04-01 08:50:53+00:00,2019-04-01 01:50:53-07:00,1554108653,469.4627083333333,3.1558333333333337
2019-04-01 04:50:53+00:00,2019-03-31 21:50:53-07:00,1554094253,468.9102083333334,3.222291666666667
2019-04-01 00:55:53+00:00,2019-03-31 17:55:53-07:00,1554080153,425.0774468085106,3.319787234042553
2019-03-31 20:50:50+00:00,2019-03-31 13:50:50-07:00,1554065450,474.6560416666667,3.237291666666667
2019-03-31 16:50:50+00:00,2019-03-31 09:50:50-07:00,1554051050,485.7925,3.105625
2019-03-31 12:50:50+00:00,2019-03-31 05:50:50-07:00,1554036650,469.3612500000001,3.0537499999999995
2019-03-31 08:50:50+00:00,2019-03-31 01:50:50-07:00,1554022250,443.51916666666665,3.0925
2019-03-31 04:50:50+00:00,2019-03-30 21:50:50-07:00,1554007850,450.1229166666667,3.1979166666666665
2019-03-31 00:50:50+00:00,2019-03-30 17:50:50-07:00,1553993450,453.421875,3.249166666666667
2019-03-30 20:50:50+00:00,2019-03-30 13:50:50-07:00,1553979050,461.87375000000003,3.146666666666667
2019-03-30 16:50:50+00:00,2019-03-30 09:50:50-07:00,1553964650,487.9160416666667,3.0231250000000003
2019-03-30 12:50:50+00:00,2019-03-30 05:50:50-07:00,1553950250,485.9870833333334,2.967916666666666
2019-03-30 08:50:50+00:00,2019-03-30 01:50:50-07:00,1553935850,460.5941666666666,3.0508333333333333
2019-03-30 04:50:50+00:00,2019-03-29 21:50:50-07:00,1553921450,461.37875,3.099583333333333
2019-03-30 00:50:50+00:00,2019-03-29 17:50:50-07:00,1553907050,464.61187500000005,3.162083333333334
2019-03-29 20:50:50+00:00,2019-03-29 13:50:50-07:00,1553892650,479.74104166666666,3.0922916666666667
2019-03-29 16:50:50+00:00,2019-03-29 09:50:50-07:00,1553878250,507.31,2.99
2019-03-29 12:50:50+00:00,2019-03-29 05:50:50-07:00,1553863850,494.8814583333333,2.9858333333333333
2019-03-29 08:50:50+00:00,2019-03-29 01:50:50-07:00,1553849450,492.8685416666667,3.004375
2019-03-29 04:50:50+00:00,2019-03-28 21:50:50-07:00,1553835050,485.3908333333334,3.056875
2019-03-29 00:50:50+00:00,2019-03-28 17:50:50-07:00,1553820650,476.25666666666666,3.095
2019-03-28 20:50:50+00:00,2019-03-28 13:50:50-07:00,1553806250,460.921875,3.1308333333333334
2019-03-28 16:50:50+00:00,2019-03-28 09:50:50-07:00,1553791850,484.6758333333334,3.0835416666666666
2019-03-28 12:50:50+00:00,2019-03-28 05:50:50-07:00,1553777450,479.226875,3.063125
2019-03-28 08:50:50+00:00,2019-03-28 01:50:50-07:00,1553763050,481.90562500000004,3.0745833333333334
2019-03-28 04:50:50+00:00,2019-03-27 21:50:50-07:00,1553748650,483.9060416666666,3.0881250000000002
2019-03-28 00:50:50+00:00,2019-03-27 17:50:50-07:00,1553734250,467.60625000000005,3.159791666666667
2019-03-27 20:50:50+00:00,2019-03-27 13:50:50-07:00,1553719850,483.6585416666667,3.1264583333333333
2019-03-27 16:50:50+00:00,2019-03-27 09:50:50-07:00,1553705450,481.32895833333333,3.1220833333333338
2019-03-27 12:50:50+00:00,2019-03-27 05:50:50-07:00,1553691050,481.06958333333336,3.1143750000000003
2019-03-27 08:50:50+00:00,2019-03-27 01:50:50-07:00,1553676650,479.1466666666667,3.1135416666666664
2019-03-27 04:50:50+00:00,2019-03-26 21:50:50-07:00,1553662250,462.61937500000005,3.108125
2019-03-27 00:50:50+00:00,2019-03-26 17:50:50-07:00,1553647850,457.023125,3.1812500000000004
2019-03-26 20:50:50+00:00,2019-03-26 13:50:50-07:00,1553633450,468.26104166666664,3.125
2019-03-26 16:50:50+00:00,2019-03-26 09:50:50-07:00,1553619050,487.6966666666667,3.013333333333333
2019-03-26 12:50:50+00:00,2019-03-26 05:50:50-07:00,1553604650,493.16395833333337,2.9814583333333338
2019-03-26 08:50:50+00:00,2019-03-26 01:50:50-07:00,1553590250,492.28791666666666,3.033958333333333
2019-03-26 04:50:50+00:00,2019-03-25 21:50:50-07:00,1553575850,492.82750000000004,3.057916666666667
2019-03-26 00:50:50+00:00,2019-03-25 17:50:50-07:00,1553561450,499.4860416666667,3.10125
2019-03-25 20:50:50+00:00,2019-03-25 13:50:50-07:00,1553547050,423.02624999999995,3.1664583333333334
2019-03-25 16:50:50+00:00,2019-03-25 09:50:50-07:00,1553532650,407.058125,3.1160416666666664
2019-03-25 12:50:50+00:00,2019-03-25 05:50:50-07:00,1553518250,405.973125,3.09625
2019-03-25 08:50:50+00:00,2019-03-25 01:50:50-07:00,1553503850,408.03270833333335,3.091875
2019-03-25 04:50:50+00:00,2019-03-24 21:50:50-07:00,1553489450,404.6870833333333,3.155208333333334
2019-03-25 00:55:50+00:00,2019-03-24 17:55:50-07:00,1553475350,407.95170212765964,3.1823404255319154
2019-03-24 20:50:41+00:00,2019-03-24 13:50:41-07:00,1553460641,429.6229166666667,3.122083333333333
2019-03-24 16:50:41+00:00,2019-03-24 09:50:41-07:00,1553446241,439.19041666666664,3.009375
2019-03-24 12:50:41+00:00,2019-03-24 05:50:41-07:00,1553431841,419.74541666666664,2.9652083333333334
2019-03-24 08:50:41+00:00,2019-03-24 01:50:41-07:00,1553417441,414.1010416666666,3.0014583333333333
2019-03-24 04:50:41+00:00,2019-03-23 21:50:41-07:00,1553403041,416.18895833333335,3.062708333333333
2019-03-24 00:50:41+00:00,2019-03-23 17:50:41-07:00,1553388641,414.6677083333334,3.135
2019-03-23 20:50:41+00:00,2019-03-23 13:50:41-07:00,1553374241,415.03666666666663,3.1143749999999994
2019-03-23 16:50:41+00:00,2019-03-23 09:50:41-07:00,1553359841,433.58958333333334,3.0341666666666662
2019-03-23 12:50:41+00:00,2019-03-23 05:50:41-07:00,1553345441,448.04791666666665,3.0677083333333335
2019-03-23 08:50:41+00:00,2019-03-23 01:50:41-07:00,1553331041,451.6920833333333,3.1039583333333334
2019-03-23 04:50:41+00:00,2019-03-22 21:50:41-07:00,1553316641,437.525625,3.1218749999999997
2019-03-23 00:50:41+00:00,2019-03-22 17:50:41-07:00,1553302241,491.63625,3.111666666666667
2019-03-22 20:50:41+00:00,2019-03-22 13:50:41-07:00,1553287841,493.8218749999999,3.1189583333333335
2019-03-22 16:50:41+00:00,2019-03-22 09:50:41-07:00,1553273441,483.3033333333333,3.0560416666666668
2019-03-22 12:50:41+00:00,2019-03-22 05:50:41-07:00,1553259041,490.99645833333335,3.051666666666667
2019-03-22 08:50:41+00:00,2019-03-22 01:50:41-07:00,1553244641,486.9960416666667,3.0647916666666664
2019-03-22 04:50:41+00:00,2019-03-21 21:50:41-07:00,1553230241,478.72541666666666,3.0941666666666667
2019-03-22 00:50:41+00:00,2019-03-21 17:50:41-07:00,1553215841,631.0752083333333,3.1335416666666664
2019-03-21 20:50:41+00:00,2019-03-21 13:50:41-07:00,1553201441,632.3983333333334,3.103333333333333
2019-03-21 16:50:41+00:00,2019-03-21 09:50:41-07:00,1553187041,648.9093750000001,2.9941666666666666
2019-03-21 12:50:41+00:00,2019-03-21 05:50:41-07:00,1553172641,653.868125,2.9718750000000007
2019-03-21 08:50:41+00:00,2019-03-21 01:50:41-07:00,1553158241,639.0366666666667,2.9970833333333338
2019-03-21 04:50:41+00:00,2019-03-20 21:50:41-07:00,1553143841,637.2033333333334,3.06875
2019-03-21 00:50:41+00:00,2019-03-20 17:50:41-07:00,1553129441,616.6591666666667,3.1577083333333333
2019-03-20 20:50:41+00:00,2019-03-20 13:50:41-07:00,1553115041,640.0139583333333,3.1174999999999997
2019-03-20 16:50:41+00:00,2019-03-20 09:50:41-07:00,1553100641,663.8033333333333,3.089166666666666
2019-03-20 12:50:41+00:00,2019-03-20 05:50:41-07:00,1553086241,641.5695833333333,3.107708333333333
2019-03-20 08:50:41+00:00,2019-03-20 01:50:41-07:00,1553071841,618.8954166666667,3.1591666666666662
2019-03-20 04:50:41+00:00,2019-03-19 21:50:41-07:00,1553057441,608.5020833333333,3.200833333333333
2019-03-20 00:50:41+00:00,2019-03-19 17:50:41-07:00,1553043041,599.9735416666666,3.264375
2019-03-19 20:50:41+00:00,2019-03-19 13:50:41-07:00,1553028641,635.1991666666667,3.277708333333333
2019-03-19 16:50:41+00:00,2019-03-19 09:50:41-07:00,1553014241,682.16125,3.1464583333333334
2019-03-19 12:50:41+00:00,2019-03-19 05:50:41-07:00,1552999841,653.4454166666667,3.07
2019-03-19 08:50:41+00:00,2019-03-19 01:50:41-07:00,1552985441,629.88375,3.0727083333333334
2019-03-19 04:50:41+00:00,2019-03-18 21:50:41-07:00,1552971041,618.9645833333333,3.1506250000000002
2019-03-19 00:50:41+00:00,2019-03-18 17:50:41-07:00,1552956641,620.1460416666667,3.3539583333333334
2019-03-18 20:50:41+00:00,2019-03-18 13:50:41-07:00,1552942241,625.2547916666666,3.34375
2019-03-18 16:50:41+00:00,2019-03-18 09:50:41-07:00,1552927841,656.0656250000001,3.2000000000000006
2019-03-18 12:50:41+00:00,2019-03-18 05:50:41-07:00,1552913441,594.86875,3.2016666666666667
2019-03-18 08:50:41+00:00,2019-03-18 01:50:41-07:00,1552899041,579.3045833333333,3.2722916666666664
2019-03-18 04:50:41+00:00,2019-03-17 21:50:41-07:00,1552884641,600.67125,3.31875
2019-03-18 00:55:41+00:00,2019-03-17 17:55:41-07:00,1552870541,590.4244680851064,3.386595744680851
2019-03-17 20:50:41+00:00,2019-03-17 13:50:41-07:00,1552855841,658.4006250000001,3.2329166666666667
2019-03-17 16:50:41+00:00,2019-03-17 09:50:41-07:00,1552841441,652.9727083333333,3.0752083333333338
2019-03-17 12:50:41+00:00,2019-03-17 05:50:41-07:00,1552827041,640.273125,2.999375
2019-03-17 08:50:41+00:00,2019-03-17 01:50:41-07:00,1552812641,633.4514583333333,3.0570833333333334
2019-03-17 04:50:41+00:00,2019-03-16 21:50:41-07:00,1552798241,623.7664583333334,3.19125
2019-03-17 00:50:41+00:00,2019-03-16 17:50:41-07:00,1552783841,586.4164583333333,3.2983333333333333
2019-03-16 20:50:41+00:00,2019-03-16 13:50:41-07:00,1552769441,650.5420833333334,3.1845833333333338
2019-03-16 16:50:41+00:00,2019-03-16 09:50:41-07:00,1552755041,656.7772916666667,3.0343750000000003
2019-03-16 12:50:41+00:00,2019-03-16 05:50:41-07:00,1552740641,627.9295833333333,2.997708333333333
2019-03-16 08:50:41+00:00,2019-03-16 01:50:41-07:00,1552726241,599.7800000000001,3.06375
