deviceTime_utc,deviceTime_local,deviceTime_unix,co2_ppm,noise
2019-04-01 08:16:15+00:00,2019-04-01 01:16:15-07:00,1554106575,568.0016666666667,3.216666666666667
2019-03-25 06:34:59+00:00,2019-03-24 23:34:59-07:00,1553495699,541.2755319148936,3.1923404255319143
2019-03-25 02:34:59+00:00,2019-03-24 19:34:59-07:00,1553481299,524.0085416666667,3.2216666666666662
2019-03-24 22:34:59+00:00,2019-03-24 15:34:59-07:00,1553466899,508.2708333333333,3.191041666666667
2019-03-24 18:34:59+00:00,2019-03-24 11:34:59-07:00,1553452499,520.2233333333334,3.2120833333333336
2019-03-24 14:34:59+00:00,2019-03-24 07:34:59-07:00,1553438099,554.24125,3.22875
2019-03-24 10:34:59+00:00,2019-03-24 03:34:59-07:00,1553423699,543.8922916666667,3.199375
2019-03-24 06:34:59+00:00,2019-03-23 23:34:59-07:00,1553409299,528.2322916666666,3.1954166666666666
2019-03-24 02:34:59+00:00,2019-03-23 19:34:59-07:00,1553394899,505.4489583333334,3.220625
2019-03-23 22:34:59+00:00,2019-03-23 15:34:59-07:00,1553380499,503.7625,3.2754166666666666
2019-03-23 18:34:59+00:00,2019-03-23 11:34:59-07:00,1553366099,531.8585416666666,3.2460416666666667
2019-03-23 14:31:15+00:00,2019-03-23 07:31:15-07:00,1553351475,569.6627083333333,3.1943749999999995
2019-03-23 10:31:15+00:00,2019-03-23 03:31:15-07:00,1553337075,575.1347916666667,3.190208333333333
2019-03-23 06:31:15+00:00,2019-03-22 23:31:15-07:00,1553322675,565.2252083333333,3.1879166666666667
2019-03-23 02:31:15+00:00,2019-03-22 19:31:15-07:00,1553308275,563.89625,3.1956249999999997
2019-03-22 22:31:15+00:00,2019-03-22 15:31:15-07:00,1553293875,560.8339583333333,3.2131250000000002
2019-03-22 18:31:15+00:00,2019-03-22 11:31:15-07:00,1553279475,615.0054166666667,3.1945833333333336
2019-03-22 14:31:15+00:00,2019-03-22 07:31:15-07:00,1553265075,664.1435416666667,3.1904166666666662
2019-03-22 10:31:15+00:00,2019-03-22 03:31:15-07:00,1553250675,664.115625,3.1927083333333335
2019-03-22 06:31:15+00:00,2019-03-21 23:31:15-07:00,1553236275,611.065,3.1939583333333332
2019-03-22 02:31:15+00:00,2019-03-21 19:31:15-07:00,1553221875,576.8110416666667,3.1987500000000004
2019-03-21 22:31:15+00:00,2019-03-21 15:31:15-07:00,1553207475,579.2854166666666,3.2252083333333332
2019-03-21 18:31:15+00:00,2019-03-21 11:31:15-07:00,1553193075,626.83875,3.201041666666667
2019-03-21 14:31:15+00:00,2019-03-21 07:31:15-07:00,1553178675,730.8897916666666,3.2085416666666666
2019-03-21 10:31:15+00:00,2019-03-21 03:31:15-07:00,1553164275,716.7981249999999,3.206666666666667
2019-03-21 06:31:15+00:00,2019-03-20 23:31:15-07:00,1553149875,656.8964583333333,3.19375
2019-03-21 02:31:15+00:00,2019-03-20 19:31:15-07:00,1553135475,602.6485416666667,3.200208333333333
2019-03-20 22:31:15+00:00,2019-03-20 15:31:15-07:00,1553121075,615.5341666666667,3.222083333333334
2019-03-20 18:31:15+00:00,2019-03-20 11:31:15-07:00,1553106675,647.8147916666667,3.199791666666666
2019-03-20 14:31:15+00:00,2019-03-20 07:31:15-07:00,1553092275,665.366875,3.1931249999999998
2019-03-20 10:31:15+00:00,2019-03-20 03:31:15-07:00,1553077875,656.4591666666666,3.19125
2019-03-20 06:31:15+00:00,2019-03-19 23:31:15-07:00,1553063475,626.8539583333333,3.2118749999999996
2019-03-20 02:31:15+00:00,2019-03-19 19:31:15-07:00,1553049075,601.07875,3.2291666666666665
2019-03-19 22:31:15+00:00,2019-03-19 15:31:15-07:00,1553034675,642.3108333333333,3.2241666666666666
2019-03-19 18:31:15+00:00,2019-03-19 11:31:15-07:00,1553020275,691.8256250000001,3.2287500000000002
2019-03-19 14:31:15+00:00,2019-03-19 07:31:15-07:00,1553005875,740.7008333333333,3.193541666666667
2019-03-19 10:31:15+00:00,2019-03-19 03:31:15-07:00,1552991475,684.2275,3.198333333333333
2019-03-19 06:31:15+00:00,2019-03-18 23:31:15-07:00,1552977075,671.6670833333334,3.1941666666666664
2019-03-19 02:31:15+00:00,2019-03-18 19:31:15-07:00,1552962675,663.6477083333333,3.223125
