tracename,deviceTime_utc,deviceTime_local,deviceTime_unix,cpm,cpmError
LBL,2019-01-09 09:00:38+00:00,2019-01-09 01:00:38-08:00,1547024438.0,2.583333333333333,0.14672347384715842
,2019-01-07 11:30:34+00:00,2019-01-07 03:30:34-08:00,1546860634.0,2.675,0.11565033506220378
,2019-01-07 09:00:39+00:00,2019-01-07 01:00:39-08:00,1546851639.0,2.625,0.1479019945774904
,2019-01-05 14:40:33+00:00,2019-01-05 06:40:33-08:00,1546699233.0,2.92,0.24166091947189144
,2019-01-05 12:15:33+00:00,2019-01-05 04:15:33-08:00,1546690533.0,2.645614035087719,0.0963475804754104
,2019-01-05 09:00:33+00:00,2019-01-05 01:00:33-08:00,1546678833.0,2.675,0.14930394055974094
,2019-01-03 11:45:33+00:00,2019-01-03 03:45:33-08:00,1546515933.0,2.7153846153846155,0.10219484811989556
,2019-01-03 09:00:33+00:00,2019-01-03 01:00:33-08:00,1546506033.0,2.476923076923077,0.13803352649943354
,2019-01-01 10:35:34+00:00,2019-01-01 02:35:34-08:00,1546338934.0,3.08,0.2026491220476088
,2019-01-01 09:00:34+00:00,2019-01-01 01:00:34-08:00,1546333234.0,2.992,0.15471263684650974
,2018-12-31 11:20:30+00:00,2018-12-31 03:20:30-08:00,1546255230.0,2.6606060606060606,0.12698379902883009
,2018-12-31 09:05:30+00:00,2018-12-31 01:05:30-08:00,1546247130.0,2.584,0.14377760604489145
,2018-12-29 10:35:34+00:00,2018-12-29 02:35:34-08:00,1546079734.0,2.4666666666666663,0.1813529401164725
,2018-12-29 09:00:34+00:00,2018-12-29 01:00:34-08:00,1546074034.0,2.533333333333333,0.1452966314513558
,2018-12-27 10:30:30+00:00,2018-12-27 02:30:30-08:00,1545906630.0,2.672727272727273,0.22044283005422075
,2018-12-27 09:05:30+00:00,2018-12-27 01:05:30-08:00,1545901530.0,2.656,0.1457669372663088
,2018-12-25 10:30:28+00:00,2018-12-25 02:30:28-08:00,1545733828.0,2.9272727272727272,0.2307014098263549
,2018-12-25 09:05:28+00:00,2018-12-25 01:05:28-08:00,1545728728.0,2.688888888888889,0.1411300658019085
,2018-12-23 11:15:34+00:00,2018-12-23 03:15:34-08:00,1545563734.0,2.7875,0.13199195051214296
,2018-12-23 09:00:34+00:00,2018-12-23 01:00:34-08:00,1545555634.0,2.625,0.1479019945774904
,2018-12-21 14:05:35+00:00,2018-12-21 06:05:35-08:00,1545401135.0,2.0,0.6324555320336759
,2018-12-21 12:20:35+00:00,2018-12-21 04:20:35-08:00,1545394835.0,2.911864406779661,0.09935153145595148
,2018-12-21 09:00:35+00:00,2018-12-21 01:00:35-08:00,1545382835.0,2.6333333333333333,0.14813657362192648
,2018-12-19 16:00:29+00:00,2018-12-19 08:00:29-08:00,1545235229.0,2.8,0.4320493798938573
,2018-12-19 11:25:29+00:00,2018-12-19 03:25:29-08:00,1545218729.0,2.4774193548387102,0.12642527704687373
,2018-12-19 09:20:29+00:00,2018-12-19 01:20:29-08:00,1545211229.0,2.8421052631578947,0.17296501815952614
,2018-12-18 22:40:33+00:00,2018-12-18 14:40:33-08:00,1545172833.0,3.8,0.8717797887081348
,2018-12-18 16:10:33+00:00,2018-12-18 08:10:33-08:00,1545149433.0,2.8000000000000003,0.37416573867739417
,2018-12-18 12:40:33+00:00,2018-12-18 04:40:33-08:00,1545136833.0,3.0,0.7745966692414834
,2018-12-18 06:05:34+00:00,2018-12-17 22:05:34-08:00,1545113134.0,2.3,0.4795831523312719
,2018-12-18 02:40:44+00:00,2018-12-17 18:40:44-08:00,1545100844.0,2.5727272727272728,0.15293276219327928
,2018-12-18 00:10:39+00:00,2018-12-17 16:10:39-08:00,1545091839.0,2.635294117647059,0.10165867762208408
,2018-12-17 20:00:39+00:00,2018-12-17 12:00:39-08:00,1545076839.0,2.645833333333333,0.10499669306961794
,2018-12-17 16:05:40+00:00,2018-12-17 08:05:40-08:00,1545062740.0,2.5446808510638297,0.10405973838840413
,2018-12-17 12:10:34+00:00,2018-12-17 04:10:34-08:00,1545048634.0,2.5142857142857142,0.09476070829586856
,2018-12-17 09:00:34+00:00,2018-12-17 01:00:34-08:00,1545037234.0,2.6,0.14719601443879746
,2018-12-15 16:00:28+00:00,2018-12-15 08:00:28-08:00,1544889628.0,2.6,0.27255405754769874
,2018-12-15 12:15:28+00:00,2018-12-15 04:15:28-08:00,1544876128.0,2.6,0.09813067629253162
,2018-12-15 09:15:28+00:00,2018-12-15 01:15:28-08:00,1544865328.0,2.3199999999999994,0.15231546211727814
,2018-12-14 06:15:35+00:00,2018-12-13 22:15:35-08:00,1544768135.0,2.4,0.6928203230275509
,2018-12-14 02:15:35+00:00,2018-12-13 18:15:35-08:00,1544753735.0,3.0,0.3872983346207417
,2018-12-14 00:50:35+00:00,2018-12-13 16:50:35-08:00,1544748635.0,2.5,0.3535533905932738
,2018-12-13 18:45:35+00:00,2018-12-13 10:45:35-08:00,1544726735.0,2.2,0.469041575982343
,2018-12-13 16:55:35+00:00,2018-12-13 08:55:35-08:00,1544720135.0,2.44,0.31240998703626616
,2018-12-13 11:20:35+00:00,2018-12-13 03:20:35-08:00,1544700035.0,2.5818181818181816,0.12508949963969876
,2018-12-13 09:00:35+00:00,2018-12-13 01:00:35-08:00,1544691635.0,2.558333333333333,0.14601179556612692
,2018-12-12 03:15:28+00:00,2018-12-11 19:15:28-08:00,1544584528.0,2.5589743589743588,0.1145554251471214
,2018-12-12 00:05:28+00:00,2018-12-11 16:05:28-08:00,1544573128.0,2.596,0.10190191362285596
,2018-12-11 19:55:28+00:00,2018-12-11 11:55:28-08:00,1544558128.0,2.580769230769231,0.09962949113068167
,2018-12-11 16:05:28+00:00,2018-12-11 08:05:28-08:00,1544544328.0,2.854237288135593,0.09836351273591123
,2018-12-11 12:05:33+00:00,2018-12-11 04:05:33-08:00,1544529933.0,2.6,0.09388055880763543
,2018-12-11 09:10:28+00:00,2018-12-11 01:10:28-08:00,1544519428.0,2.591666666666667,0.14695993407123664
