tracename,deviceTime_utc,deviceTime_local,deviceTime_unix,cpm,cpmError
LBL Outside,2017-06-20 14:06:06+00:00,2017-06-20 07:06:06-07:00,1497967566.0,2.5416666666666665,0.10290907529357056
,2017-06-20 10:06:06+00:00,2017-06-20 03:06:06-07:00,1497953166.0,2.6749999999999994,0.10557382882766604
,2017-06-20 06:06:06+00:00,2017-06-19 23:06:06-07:00,1497938766.0,2.525,0.1025711135424264
,2017-06-20 02:06:06+00:00,2017-06-19 19:06:06-07:00,1497924366.0,2.4916666666666667,0.10189182717197903
,2017-06-19 22:36:06+00:00,2017-06-19 15:36:06-07:00,1497911766.0,3.497297297297297,0.13749294423758815
,2017-06-19 16:11:06+00:00,2017-06-19 09:11:06-07:00,1497888666.0,6.4,1.1313708498984758
,2017-06-19 14:06:06+00:00,2017-06-19 07:06:06-07:00,1497881166.0,2.275,0.0973610120462327
,2017-06-19 10:06:06+00:00,2017-06-19 03:06:06-07:00,1497866766.0,2.4625,0.10129371484286016
,2017-06-19 06:06:06+00:00,2017-06-18 23:06:06-07:00,1497852366.0,2.620833333333333,0.1044994683665371
,2017-06-19 02:06:06+00:00,2017-06-18 19:06:06-07:00,1497837966.0,3.316666666666667,0.11755613316388235
,2017-06-18 23:56:06+00:00,2017-06-18 16:56:06-07:00,1497830166.0,7.72,0.5556977595779922
,2017-06-18 14:06:06+00:00,2017-06-18 07:06:06-07:00,1497794766.0,2.497872340425532,0.1030982250177508
,2017-06-18 10:06:06+00:00,2017-06-18 03:06:06-07:00,1497780366.0,2.5083333333333333,0.1022320345532108
,2017-06-18 06:06:06+00:00,2017-06-17 23:06:06-07:00,1497765966.0,2.2375,0.09655525188547057
,2017-06-18 02:06:06+00:00,2017-06-17 19:06:06-07:00,1497751566.0,2.970833333333333,0.11125858269015576
,2017-06-17 23:26:06+00:00,2017-06-17 16:26:06-07:00,1497741966.0,5.0125,0.25031230493125983
,2017-06-17 16:11:06+00:00,2017-06-17 09:11:06-07:00,1497715866.0,2.6,0.7211102550927978
,2017-06-17 14:06:06+00:00,2017-06-17 07:06:06-07:00,1497708366.0,2.4125,0.10026007846263303
,2017-06-17 10:06:06+00:00,2017-06-17 03:06:06-07:00,1497693966.0,2.370833333333333,0.09939050368230468
