tracename,deviceTime_utc,deviceTime_local,deviceTime_unix,cpm,cpmError
Norra Real Gymnasium,2019-06-19 13:55:18+00:00,2019-06-19 15:55:18+02:00,1560952518.0,7.683333333333334,0.17892425461319908
,2019-06-19 10:00:18+00:00,2019-06-19 12:00:18+02:00,1560938418.0,7.5829787234042545,0.17963294399323773
,2019-06-19 05:55:18+00:00,2019-06-19 07:55:18+02:00,1560923718.0,7.604166666666668,0.17800007802744855
,2019-06-19 01:55:18+00:00,2019-06-19 03:55:18+02:00,1560909318.0,7.504166666666667,0.17682579311602453
,2019-06-18 21:55:18+00:00,2019-06-18 23:55:18+02:00,1560894918.0,7.604166666666668,0.17800007802744855
,2019-06-18 17:55:18+00:00,2019-06-18 19:55:18+02:00,1560880518.0,7.162500000000002,0.17275343701356569
,2019-06-18 13:55:18+00:00,2019-06-18 15:55:18+02:00,1560866118.0,7.162499999999999,0.17275343701356566
,2019-06-18 10:00:18+00:00,2019-06-18 12:00:18+02:00,1560852018.0,7.370212765957447,0.17709491103561542
,2019-06-18 06:00:17+00:00,2019-06-18 08:00:17+02:00,1560837617.0,7.5404255319148925,0.17912821429658882
,2019-06-18 02:00:17+00:00,2019-06-18 04:00:17+02:00,1560823217.0,7.2666666666666675,0.1740051084818425
,2019-06-17 22:00:17+00:00,2019-06-18 00:00:17+02:00,1560808817.0,7.287499999999999,0.17425436388605406
,2019-06-17 18:00:17+00:00,2019-06-17 20:00:17+02:00,1560794417.0,7.4625,0.17633419974582354
,2019-06-17 14:00:17+00:00,2019-06-17 16:00:17+02:00,1560780017.0,7.5375,0.1772180859844728
,2019-06-17 10:00:17+00:00,2019-06-17 12:00:17+02:00,1560765617.0,7.65,0.17853571071357124
,2019-06-17 06:00:17+00:00,2019-06-17 08:00:17+02:00,1560751217.0,7.18723404255319,0.17488274543008098
,2019-06-17 02:00:17+00:00,2019-06-17 04:00:17+02:00,1560736817.0,7.483333333333332,0.17658016750347574
,2019-06-16 22:00:17+00:00,2019-06-17 00:00:17+02:00,1560722417.0,7.316666666666666,0.17460272366464136
,2019-06-16 18:00:17+00:00,2019-06-16 20:00:17+02:00,1560708017.0,7.2958333333333325,0.17435396627423067
,2019-06-16 14:00:17+00:00,2019-06-16 16:00:17+02:00,1560693617.0,7.241666666666665,0.1737055298806319
,2019-06-16 10:00:17+00:00,2019-06-16 12:00:17+02:00,1560679217.0,7.458333333333332,0.17628496501088484
,2019-06-16 05:55:18+00:00,2019-06-16 07:55:18+02:00,1560664518.0,7.316666666666666,0.17460272366464136
,2019-06-16 01:55:18+00:00,2019-06-16 03:55:18+02:00,1560650118.0,7.525,0.17707107800729815
