deviceTime_utc,deviceTime_local,deviceTime_unix,PM1,PM25,PM10
2019-04-15 04:51:10+00:00,2019-04-14 21:51:10-07:00,1555303870,0.0,0.0,0.0
2019-04-15 00:56:10+00:00,2019-04-14 17:56:10-07:00,1555289770,0.0,0.000851063829787234,0.000851063829787234
2019-04-14 20:51:10+00:00,2019-04-14 13:51:10-07:00,1555275070,0.1672916666666667,0.3827083333333334,0.50625
2019-04-14 16:51:10+00:00,2019-04-14 09:51:10-07:00,1555260670,2.2975,4.262708333333333,5.620208333333333
2019-04-14 12:51:10+00:00,2019-04-14 05:51:10-07:00,1555246270,0.7516666666666666,1.653125,2.2641666666666667
2019-04-14 08:51:10+00:00,2019-04-14 01:51:10-07:00,1555231870,0.0,0.0010416666666666667,0.0010416666666666667
2019-04-14 04:51:10+00:00,2019-04-13 21:51:10-07:00,1555217470,0.17416666666666666,0.30020833333333335,0.3464583333333333
2019-04-14 00:51:10+00:00,2019-04-13 17:51:10-07:00,1555203070,0.0,0.007291666666666668,0.008125000000000002
2019-04-13 20:51:10+00:00,2019-04-13 13:51:10-07:00,1555188670,0.0,0.006875,0.006875
2019-04-13 16:51:10+00:00,2019-04-13 09:51:10-07:00,1555174270,0.0031249999999999997,0.2525,0.4164583333333334
2019-04-13 12:51:10+00:00,2019-04-13 05:51:10-07:00,1555159870,0.11395833333333334,0.18604166666666666,0.26958333333333334
2019-04-13 08:51:10+00:00,2019-04-13 01:51:10-07:00,1555145470,0.6118750000000001,0.6325,0.6381249999999999
2019-04-13 04:51:10+00:00,2019-04-12 21:51:10-07:00,1555131070,0.0,0.0,0.0
2019-04-13 00:51:10+00:00,2019-04-12 17:51:10-07:00,1555116670,0.0,0.0,0.0
2019-04-12 20:51:10+00:00,2019-04-12 13:51:10-07:00,1555102270,0.0,0.0,0.0
2019-04-12 16:51:10+00:00,2019-04-12 09:51:10-07:00,1555087870,0.0,0.0,0.0
2019-04-12 12:51:10+00:00,2019-04-12 05:51:10-07:00,1555073470,0.0,0.0,0.0
2019-04-12 08:51:10+00:00,2019-04-12 01:51:10-07:00,1555059070,0.4175,0.4295833333333334,0.44145833333333334
2019-04-12 04:51:10+00:00,2019-04-11 21:51:10-07:00,1555044670,0.0,0.0,0.0
2019-04-12 00:51:10+00:00,2019-04-11 17:51:10-07:00,1555030270,0.5804166666666667,0.6258333333333334,0.6337499999999999
2019-04-11 20:51:10+00:00,2019-04-11 13:51:10-07:00,1555015870,0.031041666666666665,0.389375,0.54625
2019-04-11 16:51:10+00:00,2019-04-11 09:51:10-07:00,1555001470,0.01,0.228125,0.33916666666666667
2019-04-11 12:51:10+00:00,2019-04-11 05:51:10-07:00,1554987070,0.0,0.0,0.0
2019-04-11 08:51:10+00:00,2019-04-11 01:51:10-07:00,1554972670,0.2733333333333333,0.28479166666666667,0.2891666666666667
2019-04-11 04:51:10+00:00,2019-04-10 21:51:10-07:00,1554958270,0.28791666666666665,0.3016666666666667,0.30979166666666663
2019-04-11 00:51:10+00:00,2019-04-10 17:51:10-07:00,1554943870,0.0,0.006458333333333334,0.0077083333333333335
2019-04-10 20:51:10+00:00,2019-04-10 13:51:10-07:00,1554929470,0.0,0.0,0.0
2019-04-10 16:51:10+00:00,2019-04-10 09:51:10-07:00,1554915070,0.0,0.0020833333333333333,0.0020833333333333333
2019-04-10 12:51:10+00:00,2019-04-10 05:51:10-07:00,1554900670,0.006875,0.007291666666666666,0.0075
2019-04-10 08:51:10+00:00,2019-04-10 01:51:10-07:00,1554886270,0.8547916666666667,0.9256250000000001,0.9691666666666668
2019-04-10 04:51:10+00:00,2019-04-09 21:51:10-07:00,1554871870,1.4372916666666666,1.5689583333333335,1.6375000000000002
2019-04-10 00:51:10+00:00,2019-04-09 17:51:10-07:00,1554857470,0.0,0.007083333333333334,0.007291666666666668
2019-04-09 20:51:10+00:00,2019-04-09 13:51:10-07:00,1554843070,0.0,0.000625,0.000625
2019-04-09 16:51:10+00:00,2019-04-09 09:51:10-07:00,1554828670,0.0,0.0,0.0
2019-04-09 12:51:10+00:00,2019-04-09 05:51:10-07:00,1554814270,0.8558333333333333,0.8914583333333334,0.8970833333333333
2019-04-09 08:51:10+00:00,2019-04-09 01:51:10-07:00,1554799870,0.0,0.0,0.0
2019-04-09 04:51:10+00:00,2019-04-08 21:51:10-07:00,1554785470,0.0,0.0,0.0
2019-04-09 00:51:10+00:00,2019-04-08 17:51:10-07:00,1554771070,0.005833333333333334,0.26,0.3070833333333333
2019-04-08 20:51:10+00:00,2019-04-08 13:51:10-07:00,1554756670,0.6010416666666667,1.6837499999999999,2.158958333333333
2019-04-08 16:51:10+00:00,2019-04-08 09:51:10-07:00,1554742270,1.1739583333333332,2.6252083333333336,3.486666666666667
2019-04-08 12:51:10+00:00,2019-04-08 05:51:10-07:00,1554727870,0.6270833333333333,1.6137500000000002,2.273125
2019-04-08 08:51:10+00:00,2019-04-08 01:51:10-07:00,1554713470,1.8426530612244896,2.94,3.589795918367347
2019-04-08 04:51:15+00:00,2019-04-07 21:51:15-07:00,1554699075,0.5508333333333333,1.5356250000000002,2.1283333333333334
2019-04-08 01:01:16+00:00,2019-04-07 18:01:16-07:00,1554685276,0.13533333333333336,0.9426666666666667,1.3437777777777777
2019-04-02 15:11:09+00:00,2019-04-02 08:11:09-07:00,1554217869,0.608,1.7079999999999997,2.3680000000000003
2019-04-02 12:56:09+00:00,2019-04-02 05:56:09-07:00,1554209769,1.0218749999999999,1.7741666666666667,2.1943750000000004
2019-04-02 08:56:09+00:00,2019-04-02 01:56:09-07:00,1554195369,0.146875,0.3466666666666667,0.38916666666666666
2019-04-02 04:56:09+00:00,2019-04-01 21:56:09-07:00,1554180969,0.18479166666666666,0.429375,0.4958333333333334
2019-04-02 00:56:09+00:00,2019-04-01 17:56:09-07:00,1554166569,0.21208333333333332,0.691875,0.9535416666666667
2019-04-01 20:56:09+00:00,2019-04-01 13:56:09-07:00,1554152169,0.4210416666666667,1.3504166666666666,1.9162499999999998
2019-04-01 16:56:09+00:00,2019-04-01 09:56:09-07:00,1554137769,0.12145833333333333,0.3545833333333333,0.4247916666666667
2019-04-01 12:56:09+00:00,2019-04-01 05:56:09-07:00,1554123369,0.0,0.0037500000000000003,0.003958333333333334
2019-04-01 08:56:09+00:00,2019-04-01 01:56:09-07:00,1554108969,0.0,0.0020833333333333333,0.0025
2019-04-01 04:56:09+00:00,2019-03-31 21:56:09-07:00,1554094569,0.0,0.07458333333333333,0.09520833333333334
2019-04-01 00:56:09+00:00,2019-03-31 17:56:09-07:00,1554080169,0.038125,0.08458333333333334,0.09583333333333334
2019-03-31 20:51:58+00:00,2019-03-31 13:51:58-07:00,1554065518,0.0,0.0,0.0
2019-03-31 16:51:58+00:00,2019-03-31 09:51:58-07:00,1554051118,0.0,0.011874999999999998,0.015416666666666667
2019-03-31 12:51:58+00:00,2019-03-31 05:51:58-07:00,1554036718,0.0,0.0,0.0
2019-03-31 08:51:58+00:00,2019-03-31 01:51:58-07:00,1554022318,0.5056250000000001,0.5372916666666666,0.560625
2019-03-31 04:51:58+00:00,2019-03-30 21:51:58-07:00,1554007918,0.0,0.0,0.0
2019-03-31 00:51:58+00:00,2019-03-30 17:51:58-07:00,1553993518,0.0,0.0,0.0
2019-03-30 20:51:58+00:00,2019-03-30 13:51:58-07:00,1553979118,0.0,0.0,0.0
2019-03-30 16:51:58+00:00,2019-03-30 09:51:58-07:00,1553964718,0.007916666666666667,0.025208333333333333,0.035208333333333335
2019-03-30 12:51:58+00:00,2019-03-30 05:51:58-07:00,1553950318,0.09520833333333334,0.09999999999999999,0.09999999999999999
