file_name,Location,Region,Average PM25,PM25 Uncertainty (Error),Average AQI25,AQI_Category25,Average PM10,PM10 Uncertainty (Error),Average AQI10,AQI_Category10,Start,Stop
asaka_os,Asaka High School Outside,Asia,9.847241,1.067763,41,Good,13.249451,1.405628,12,Good,2019-06-03 01:02:09 UTC,2019-06-16 20:51:56 UTC
chs_os,Campolindo HS Outside,America,0.258484,0.092517,1,Good,0.411836,0.138763,0,Good,2019-03-03 23:12:38 UTC,2019-04-02 13:16:40 UTC
etch_roof,Etcheverry Roof,America,2.777828,0.278092,11,Good,4.217146,0.310057,4,Good,2019-03-16 08:56:10 UTC,2019-04-15 04:51:11 UTC
exploratorium,Exploratorium,America,7.295482,0.353829,30,Good,9.791687,0.48485,8,Good,2019-05-20 18:07:02 UTC,2019-06-19 14:06:54 UTC
hb_os,Harbor Bay Outside,America,3.999365,0.499237,16,Good,5.88563,0.704743,5,Good,2019-03-02 20:15:55 UTC,2019-04-01 08:16:54 UTC
miramonte_os,Miramonte HS Outside,America,4.371961,0.377872,18,Good,6.195074,0.519723,6,Good,2019-05-26 23:36:22 UTC,2019-06-19 14:07:06 UTC
msjhs_os,Mission San Jose HS Outside,America,2.21,,9,Good,3.41,,3,Good,2018-05-11 22:35:20 UTC,2018-05-11 22:35:20 UTC
pinewood_os,Pinewood OS,America,0.671088,0.107364,3,Good,0.842298,0.134123,0,Good,2019-03-16 08:51:18 UTC,2019-04-15 04:51:10 UTC
sakata,Sakata Site,Asia,11.369504,1.848645,47,Good,15.297961,2.500905,14,Good,2019-03-16 08:56:56 UTC,2019-04-15 04:51:30 UTC
uw,University of Washington,America,3.243761,2.036549,13,Good,4.495299,2.848341,4,Good,2019-05-31 22:55:41 UTC,2019-06-19 14:06:07 UTC
westend,Westend,Europe,7.883217,0.873681,33,Good,10.517664,1.11673,9,Good,2019-02-13 17:31:58 UTC,2019-02-17 11:51:03 UTC
